api_id,name,category_large,category_medium,transport,method,url,req_body_fields,resp_body_fields
au10001,접근토큰 발급,OAuth 인증,접근토큰발급,REST,POST,/oauth2/token,3,3
au10002,접근토큰폐기,OAuth 인증,접근토큰폐기,REST,POST,/oauth2/revoke,3,0
ka00001,계좌번호조회,국내주식,계좌,REST,POST,/api/dostk/acnt,0,1
ka00198,실시간종목조회순위,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,1
ka01300,관심종목 그룹 리스트 조회,국내주식,관심종목,REST,POST,/api/dostk/watchlist,0,2
ka01301,관심종목 그룹 상세 조회,국내주식,관심종목,REST,POST,/api/dostk/watchlist,1,2
ka01690,일별잔고수익률,국내주식,계좌,REST,POST,/api/dostk/acnt,1,9
ka10001,주식기본정보요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,45
ka10002,주식거래원요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,37
ka10003,체결정보요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,1
ka10004,주식호가요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,69
ka10005,주식일주월시분요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,1
ka10006,주식시분요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,10
ka10007,시세표성정보요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,124
ka10008,주식외국인종목별매매동향,국내주식,기관/외국인,REST,POST,/api/dostk/frgnistt,1,1
ka10010,업종프로그램요청,국내주식,업종,REST,POST,/api/dostk/sect,1,18
ka10011,신주인수권전체시세요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,1
ka10013,신용매매동향요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,3,1
ka10014,공매도추이요청,국내주식,공매도,REST,POST,/api/dostk/shsa,4,1
ka10015,일별거래상세요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,2,1
ka10016,신고저가요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,9,1
ka10017,상하한가요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,8,1
ka10018,고저가근접요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,7,1
ka10019,가격급등락요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,10,1
ka10020,호가잔량상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,6,1
ka10021,호가잔량급증요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,7,1
ka10022,잔량율급증요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,6,1
ka10023,거래량급증요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,8,1
ka10024,거래량갱신요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,4,1
ka10025,매물대집중요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,6,1
ka10026,고저PER요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,2,1
ka10027,전일대비등락률상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,9,1
ka10028,시가대비등락률요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,9,1
ka10029,예상체결등락률상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,7,1
ka10030,당일거래량상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,9,1
ka10031,전일거래량상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,5,1
ka10032,거래대금상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,3,1
ka10033,신용비율상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,6,1
ka10034,외인기간별매매상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,4,1
ka10035,외인연속순매매상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,4,1
ka10036,외인한도소진율증가상위,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,3,1
ka10037,외국계창구매매상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,5,1
ka10038,종목별증권사순위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,5,5
ka10039,증권사별매매상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,5,1
ka10040,당일주요거래원요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,1,45
ka10042,순매수거래원순위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,7,1
ka10043,거래원매물대분석요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,9,1
ka10044,일별기관매매종목요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,5,1
ka10045,종목별기관매매추이요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,5,3
ka10046,체결강도추이시간별요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,1
ka10047,체결강도추이일별요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,1
ka10048,ELW일별민감도지표요청,국내주식,ELW,REST,POST,/api/dostk/elw,1,1
ka10050,ELW민감도지표요청,국내주식,ELW,REST,POST,/api/dostk/elw,1,1
ka10051,업종별투자자순매수요청,국내주식,업종,REST,POST,/api/dostk/sect,4,1
ka10052,거래원순간거래량요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,6,1
ka10053,당일상위이탈원요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,1,1
ka10054,변동성완화장치발동종목요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,13,1
ka10055,당일전일체결량요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,2,1
ka10058,투자자별일별매매종목요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,6,1
ka10059,종목별투자자기관별요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,5,1
ka10060,종목별투자자기관별차트요청,국내주식,차트,REST,POST,/api/dostk/chart,5,1
ka10061,종목별투자자기관별합계요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,6,1
ka10062,동일순매매순위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,7,1
ka10063,장중투자자별매매요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,6,1
ka10064,장중투자자별매매차트요청,국내주식,차트,REST,POST,/api/dostk/chart,4,1
ka10065,장중투자자별매매상위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,4,1
ka10066,장마감후투자자별매매요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,4,1
ka10068,대차거래추이요청,국내주식,대차거래,REST,POST,/api/dostk/slb,3,1
ka10069,대차거래상위10종목요청,국내주식,대차거래,REST,POST,/api/dostk/slb,3,9
ka10072,일자별종목별실현손익요청_일자,국내주식,계좌,REST,POST,/api/dostk/acnt,2,1
ka10073,일자별종목별실현손익요청_기간,국내주식,계좌,REST,POST,/api/dostk/acnt,3,1
ka10074,일자별실현손익요청,국내주식,계좌,REST,POST,/api/dostk/acnt,2,6
ka10075,미체결요청,국내주식,계좌,REST,POST,/api/dostk/acnt,4,1
ka10076,체결요청,국내주식,계좌,REST,POST,/api/dostk/acnt,5,1
ka10077,당일실현손익상세요청,국내주식,계좌,REST,POST,/api/dostk/acnt,1,2
ka10078,증권사별종목매매동향요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,4,1
ka10079,주식틱차트조회요청,국내주식,차트,REST,POST,/api/dostk/chart,3,3
ka10080,주식분봉차트조회요청,국내주식,차트,REST,POST,/api/dostk/chart,4,2
ka10081,주식일봉차트조회요청,국내주식,차트,REST,POST,/api/dostk/chart,3,2
ka10082,주식주봉차트조회요청,국내주식,차트,REST,POST,/api/dostk/chart,3,2
ka10083,주식월봉차트조회요청,국내주식,차트,REST,POST,/api/dostk/chart,3,2
ka10084,당일전일체결요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,4,1
ka10085,계좌수익률요청,국내주식,계좌,REST,POST,/api/dostk/acnt,1,1
ka10086,일별주가요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,3,1
ka10087,시간외단일가요청,국내주식,시세,REST,POST,/api/dostk/mrkcond,1,46
ka10088,미체결 분할주문 상세,국내주식,계좌,REST,POST,/api/dostk/acnt,1,1
ka10094,주식년봉차트조회요청,국내주식,차트,REST,POST,/api/dostk/chart,3,2
ka10095,지정종목 정보요청,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,1
ka10098,시간외단일가등락율순위요청,국내주식,순위정보,REST,POST,/api/dostk/rkinfo,6,1
ka10099,종목정보 리스트,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,1
ka10100,종목정보 조회,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,14
ka10101,업종코드 리스트,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,1,1
ka10102,회원사 리스트,국내주식,종목정보,REST,POST,/api/dostk/stkinfo,0,1
ka10131,기관외국인연속매매현황요청,국내주식,기관/외국인,REST,POST,/api/dostk/frgnistt,8,1
ka10170,당일매매일지요청,국내주식,계좌,REST,POST,/api/dostk/acnt,3,7
ka10171,조건검색 목록조회,국내주식,조건검색,WEBSOCKET,POST,/api/dostk/websocket,1,4
ka10172,조건검색 요청 일반,국내주식,조건검색,WEBSOCKET,POST,/api/dostk/websocket,6,7
ka10173,조건검색 요청 실시간,국내주식,조건검색,WEBSOCKET,POST,/api/dostk/websocket,4,9
